input_variation,output_class
What's the forecast?,NOOP
Sing me a song,NOOP
Good morning,NOOP
How's it going?,NOOP
Just some text,NOOP
What day is it?,NOOP
Text my dad,NOOP
Launch browser,NOOP
Write an email,NOOP
Tell me a story,NOOP
What's up?,NOOP
Can you play a podcast?,NOOP
How do you feel?,NOOP
Some other input,NOOP
Set an alarm,NOOP
What's the news?,NOOP
Browse the internet,NOOP
Send a message,NOOP
Give me some trivia,NOOP
Tell me about yourself,NOOP
Play some tunes,NOOP
What's your name?,NOOP
Random words,NOOP
Check my calendar,NOOP
What's happening?,NOOP
Search online,NOOP
Draft a message,NOOP
Read me a poem,NOOP
Are you a bot?,NOOP
Play something,NOOP
Tell me about the weather,NOOP
What is the date?,NOOP
Start a timer,NOOP
Hello there,NOOP
Can you search Google?,NOOP
Compose an email,NOOP
What do you think?,NOOP
Music,NOOP
What are you?,NOOP
Just saying hi,NOOP
Show me current time,NOOP
Call a friend,NOOP
Open Google,NOOP
Send an SMS,NOOP
Tell me something interesting,NOOP
How do I know you?,NOOP
What kind of music?,NOOP
Good afternoon,NOOP
Gibberish,NOOP
What's today's agenda?,NOOP
Where am I?,NOOP
Search for something on the web,NOOP
Write an SMS,NOOP
Inspire me,NOOP
Are you real?,NOOP
Background music,NOOP
What's your favourite color?,NOOP
Nonsense input,NOOP
Remind me about,NOOP
What's going on?,NOOP
Open Firefox,NOOP
Send a quick email,NOOP
Give me a fun fact,NOOP
Who created you?,NOOP
Turn on music,NOOP
Hi there,NOOP
Random characters,NOOP
Check my schedule,NOOP
Where are we?,NOOP
Open a website,NOOP
Shoot an email,NOOP
Entertain me,NOOP
What is your purpose?,NOOP
Play popular music,NOOP
How old are you?,NOOP
Arbitrary text,NOOP
What's on my to-do list?,NOOP
What is my location?,NOOP
Launch default browser,NOOP
Email someone,NOOP
Make me laugh,NOOP
Are you human?,NOOP
Put on some music,NOOP
Tell me more,NOOP
Just chatting,NOOP
What are my upcoming events?,NOOP
What is the current location?,NOOP
Browse for something,NOOP
Send a new email,NOOP
Give me a quote,NOOP
Do you have emotions?,NOOP
Play soft music,NOOP
How can I reach you?,NOOP
Random phrases,NOOP
What is the day today?,NOOP
Where can I find information?,NOOP
Open a web page,NOOP
Send an email to John,NOOP
Hello,NOOP
How are you?,NOOP
