text,label
Affirmative,CONFIRM
That's correct,CONFIRM
Indeed,CONFIRM
I agree,CONFIRM
Okay,CONFIRM
Do it,CONFIRM
Yes please,CONFIRM
Correct,CONFIRM
I confirm,CONFIRM
Proceed with that,CONFIRM
Alright,CONFIRM
Confirm that,CONFIRM
Go for it,CONFIRM
Aye,CONFIRM
That's right,CONFIRM
Agreed,CONFIRM
Yes I confirm,CONFIRM
Move forward,CONFIRM
Sounds good,CONFIRM
Confirm this,CONFIRM
By all means,CONFIRM
Yup,CONFIRM
You got it,CONFIRM
Let's do it,CONFIRM
Carry on,CONFIRM
Execute,CONFIRM
Affirm,CONFIRM
That's correct go ahead,CONFIRM
Confirmed,CONFIRM
Right,CONFIRM
Yes go ahead,CONFIRM
Proceed now,CONFIRM
Positive,CONFIRM
Roger that,CONFIRM
Sure,CONFIRM
Definitely,CONFIRM
I'm good with that,CONFIRM
Make it so,CONFIRM
Validate,CONFIRM
True,CONFIRM
Yes do it,CONFIRM
Let's proceed,CONFIRM
Absolutely,CONFIRM
Confirmed thanks,CONFIRM
Ok,CONFIRM
Proceed as planned,CONFIRM
Understood proceed,CONFIRM
It is so,CONFIRM
Yes that's fine,CONFIRM
Continue,CONFIRM
You may proceed,CONFIRM
Yes I'm ready,CONFIRM
Confirm the action,CONFIRM
Alright let's proceed,CONFIRM
This is correct,CONFIRM
Go ahead with it,CONFIRM
I approve,CONFIRM
Yes it's a go,CONFIRM
Proceed with the task,CONFIRM
Make it happen,CONFIRM
Yes proceed,CONFIRM
That sounds right,CONFIRM
Let's move forward,CONFIRM
All good,CONFIRM
Go ahead and do it,CONFIRM
Yes sure,CONFIRM
Confirm the operation,CONFIRM
Ready to proceed,CONFIRM
That's a yes,CONFIRM
Move ahead,CONFIRM
I assent,CONFIRM
Yes that works,CONFIRM
Continue on,CONFIRM
Execute the command,CONFIRM
It's a go,CONFIRM
Yes I'm on board,CONFIRM
Do as planned,CONFIRM
Affirmative continue,CONFIRM
Confirmed let's go,CONFIRM
Yes do that,CONFIRM
Forward,CONFIRM
I concur,CONFIRM
Yes please continue,CONFIRM
Proceed with action,CONFIRM
That's fine,CONFIRM
Okay let's start,CONFIRM
Yes let's begin,CONFIRM
Go,CONFIRM
I accept,CONFIRM
Yes carry on,CONFIRM
Confirm to proceed,CONFIRM
Agreed let's go,CONFIRM
Yes I'm ready to proceed,CONFIRM
Commence,CONFIRM
Yes,CONFIRM
Confirm,CONFIRM
Proceed,CONFIRM
Go ahead,CONFIRM
Yes go ahead,CONFIRM
Go ahead please,CONFIRM
yes please,CONFIRM
confirm the action,CONFIRM
proceed with this,CONFIRM
go ahead now,CONFIRM
i agree to that,CONFIRM
confirm my choice,CONFIRM
affirm this decision,CONFIRM
okay do it,CONFIRM
execute this now,CONFIRM
confirm this process,CONFIRM
yes do that,CONFIRM
i confirm now,CONFIRM
confirm the input,CONFIRM
proceed as planned,CONFIRM
accept this action,CONFIRM
apply changes,CONFIRM
save my work,CONFIRM
commit this action,CONFIRM
make it so,CONFIRM
finalize this,CONFIRM
agree to terms,CONFIRM
validate my choice,CONFIRM
authorize this,CONFIRM
confirm selection,CONFIRM
yes that is right,CONFIRM
continue forward,CONFIRM
accept this proposal,CONFIRM
initiate now,CONFIRM
start the process,CONFIRM
approve this,CONFIRM
i accept it,CONFIRM
confirm operation,CONFIRM
proceed with task,CONFIRM
confirm entry,CONFIRM
yes i want to,CONFIRM
validate current,CONFIRM
confirm data,CONFIRM
confirm the entry,CONFIRM
go for it,CONFIRM
this is correct,CONFIRM
confirm my request,CONFIRM
apply the update,CONFIRM
yes do proceed,CONFIRM
confirm this choice,CONFIRM
i am sure,CONFIRM
accept current,CONFIRM
proceed with plan,CONFIRM
confirm action,CONFIRM
yes continue,CONFIRM
validate action,CONFIRM
i confirm my choice,CONFIRM
accept the data,CONFIRM
confirm the task,CONFIRM
yes run it,CONFIRM
confirm the options,CONFIRM
proceed with details,CONFIRM
save the item,CONFIRM
i confirm that,CONFIRM
accept my decision,CONFIRM
confirm this setting,CONFIRM
go ahead with it,CONFIRM
yes move forward,CONFIRM
confirm the details,CONFIRM
ok to proceed,CONFIRM
i confirm current,CONFIRM
confirm my input,CONFIRM
yes proceed with,CONFIRM
validate my action,CONFIRM
confirm this step,CONFIRM
do as i say,CONFIRM
confirm my choice now,CONFIRM
accept the changes,CONFIRM
yes please run,CONFIRM
confirm current choice,CONFIRM
agree to continue,CONFIRM
confirm my changes,CONFIRM
proceed with plan,CONFIRM
yes do it,CONFIRM
confirm the process,CONFIRM
accept this input,CONFIRM
confirm this step,CONFIRM
yes execute,CONFIRM
confirm the option,CONFIRM
proceed with current,CONFIRM
accept current changes,CONFIRM
confirm this data,CONFIRM
yes lets go,CONFIRM
confirm the plan,CONFIRM
agree to this,CONFIRM
confirm current action,CONFIRM
yes that's fine,CONFIRM
yes proceed with,CONFIRM
confirm my choice,CONFIRM
agree and continue,CONFIRM
execute the action,CONFIRM
approve this step,CONFIRM
confirm the current,CONFIRM
go ahead with action,CONFIRM
yes do that now,CONFIRM
accept the changes,CONFIRM
yes please,CONFIRM
go ahead,CONFIRM
do it,CONFIRM
confirm action,CONFIRM
that's fine,CONFIRM
sure thing,CONFIRM
okay proceed,CONFIRM
yes go on,CONFIRM
alright confirm,CONFIRM
sounds good,CONFIRM
go for it,CONFIRM
yeah okay,CONFIRM
yes do that,CONFIRM
all good,CONFIRM
confirm that,CONFIRM
please continue,CONFIRM
approve this,CONFIRM
looks good,CONFIRM
confirm submission,CONFIRM
that's okay,CONFIRM
yes proceed,CONFIRM
fine by me,CONFIRM
yes sure,CONFIRM
let's continue,CONFIRM
yeah do it,CONFIRM
I agree,CONFIRM
confirm choice,CONFIRM
please go ahead,CONFIRM
that's right,CONFIRM
yes confirm,CONFIRM
sure proceed,CONFIRM
ok fine,CONFIRM
all clear,CONFIRM
looks fine,CONFIRM
please confirm,CONFIRM
do confirm,CONFIRM
agree with that,CONFIRM
confirm now,CONFIRM
ok proceed,CONFIRM
go on please,CONFIRM
confirm operation,CONFIRM
continue please,CONFIRM
yes okay,CONFIRM
alright proceed,CONFIRM
you can continue,CONFIRM
it's okay,CONFIRM
carry on,CONFIRM
that's correct,CONFIRM
I'm fine,CONFIRM
continue that,CONFIRM
go on,CONFIRM
please approve,CONFIRM
let's go,CONFIRM
confirm yes,CONFIRM
I'm sure,CONFIRM
yes alright,CONFIRM
please continue this,CONFIRM
you may proceed,CONFIRM
approve it,CONFIRM
looks correct,CONFIRM
confirm it,CONFIRM
seems fine,CONFIRM
approve action,CONFIRM
do approve,CONFIRM
proceed now,CONFIRM
fine proceed,CONFIRM
okay confirm,CONFIRM
confirm request,CONFIRM
confirm operation please,CONFIRM
yes indeed,CONFIRM
I'm okay,CONFIRM
sounds fine,CONFIRM
confirm transaction,CONFIRM
go on confirm,CONFIRM
yeah proceed,CONFIRM
yes definitely,CONFIRM
do go on,CONFIRM
confirm approval,CONFIRM
move ahead,CONFIRM
approve request,CONFIRM
proceed ahead,CONFIRM
let it continue,CONFIRM
okay do it,CONFIRM
approve submission,CONFIRM
confirm the step,CONFIRM
please confirm action,CONFIRM
yes confirm now,CONFIRM
approve this please,CONFIRM
confirm my choice,CONFIRM
it's fine,CONFIRM
move forward,CONFIRM
okay with it,CONFIRM
looks good to me,CONFIRM
that's acceptable,CONFIRM
seems okay,CONFIRM
go ahead confirm,CONFIRM
I accept,CONFIRM
yes I approve,CONFIRM
confirm yes please,CONFIRM
okay sure,CONFIRM
carry forward,CONFIRM
confirm selection,CONFIRM
looks okay,CONFIRM
do proceed,CONFIRM
sure continue,CONFIRM
approve now,CONFIRM
that's fine go,CONFIRM
looks alright,CONFIRM
confirm and proceed,CONFIRM
yes confirm please,CONFIRM
confirm entry,CONFIRM
that's approved,CONFIRM
confirm the form,CONFIRM
fine by me confirm,CONFIRM
yes keep going,CONFIRM
confirm completion,CONFIRM
I consent,CONFIRM
please validate,CONFIRM
yes I consent,CONFIRM
confirm this task,CONFIRM
approve change,CONFIRM
okay move on,CONFIRM
looks valid,CONFIRM
yeah confirm it,CONFIRM
alright go ahead,CONFIRM
fine confirm,CONFIRM
I'm okay with it,CONFIRM
yes that's fine,CONFIRM
okay that's fine,CONFIRM
confirm submission please,CONFIRM
let it go,CONFIRM
confirm my selection,CONFIRM
sure I'm fine,CONFIRM
alright go on,CONFIRM
confirm data,CONFIRM
all seems fine,CONFIRM
approve process,CONFIRM
confirm details,CONFIRM
okay go on,CONFIRM
go ahead now,CONFIRM
please confirm yes,CONFIRM
yes confirm submission,CONFIRM
alright fine,CONFIRM
please validate that,CONFIRM
confirm order,CONFIRM
go ahead and do it,CONFIRM
I'm in agreement,CONFIRM
okay with that,CONFIRM
confirm yes go,CONFIRM
confirm request now,CONFIRM
do continue,CONFIRM
confirm my action,CONFIRM
everything fine,CONFIRM
looks acceptable,CONFIRM
confirm deletion,CONFIRM
okay that's okay,CONFIRM
please confirm step,CONFIRM
sure it's fine,CONFIRM
you may continue,CONFIRM
okay agree,CONFIRM
confirm the update,CONFIRM
approve deletion,CONFIRM
proceed with it,CONFIRM
confirm to continue,CONFIRM
confirm sending,CONFIRM
I'm fine with it,CONFIRM
confirm my approval,CONFIRM
please go for it,CONFIRM
proceed confirmation,CONFIRM
confirm upload,CONFIRM
approve yes,CONFIRM
confirm go ahead,CONFIRM
please proceed yes,CONFIRM
okay agree with that,CONFIRM
yes I accept,CONFIRM
fine go ahead,CONFIRM
that's approved yes,CONFIRM
confirm response,CONFIRM
let's go ahead,CONFIRM
confirm that's fine,CONFIRM
approve yes please,CONFIRM
confirm decision,CONFIRM
I'm good with it,CONFIRM
confirm move,CONFIRM
confirm my approval please,CONFIRM
okay continue,CONFIRM
alright yes,CONFIRM
yes approve it,CONFIRM
sure approve,CONFIRM
please confirm choice,CONFIRM
looks fine yes,CONFIRM
I'm alright,CONFIRM
confirm now please,CONFIRM
I'm good,CONFIRM
sure confirm,CONFIRM
confirm upload please,CONFIRM
confirm that yes,CONFIRM
please confirm submission,CONFIRM
approve action now,CONFIRM
looks good confirm,CONFIRM
confirm yes now,CONFIRM
yeah go for it,CONFIRM
okay I'm fine,CONFIRM
alright do that,CONFIRM
confirm update,CONFIRM
that's confirmed,CONFIRM
fine yes,CONFIRM
approve the request,CONFIRM
please approve yes,CONFIRM
yes please go ahead,CONFIRM
confirm final,CONFIRM
yes agree,CONFIRM
please go on,CONFIRM
confirm my input,CONFIRM
approve my choice,CONFIRM
go on yes,CONFIRM
that's fine proceed,CONFIRM
sure let's proceed,CONFIRM
go for it confirm,CONFIRM
yes continue,CONFIRM
alright keep going,CONFIRM
confirm yes continue,CONFIRM
approve confirm,CONFIRM
I accept that,CONFIRM
yes do proceed,CONFIRM
approve my request,CONFIRM
